Economy,Year,Economy Code,GDP per capita (current US$)
Aruba,2021,ABW,29342.1007300268
Afghanistan,2021,AFG,363.674087113049
Angola,2022,AGO,2998.50115810921
Albania,2022,ALB,6802.80451885113
Andorra,2022,AND,41992.7933583772
United Arab Emirates,2022,ARE,53757.8632508308
Argentina,2022,ARG,13686.0086737317
Armenia,2022,ARM,7014.20659172274
American Samoa,2021,ASM,15743.3107582991
Antigua and Barbuda,2022,ATG,18745.1735087796
Australia,2022,AUS,64491.4298860631
Austria,2022,AUT,52131.4466586387
Azerbaijan,2022,AZE,7736.70123206975
Burundi,2022,BDI,238.44187565548
Belgium,2022,BEL,49582.8253649187
Benin,2022,BEN,1303.22201358944
Burkina Faso,2022,BFA,832.884265674075
Bangladesh,2022,BGD,2688.30395035828
Bulgaria,2022,BGR,13772.476794451
Bahrain,2022,BHR,30152.0346838601
"Bahamas, The",2022,BHS,31458.300811739
Bosnia and Herzegovina,2022,BIH,7585.37500171521
Belarus,2022,BLR,7904.85624285517
Belize,2022,BLZ,6968.36158480889
Bermuda,2022,BMU,118845.621104325
Bolivia,2022,BOL,3523.27373305196
Brazil,2022,BRA,8917.67389796927
Barbados,2022,BRB,20018.5151513054
Brunei Darussalam,2022,BRN,37152.4662378669
Bhutan,2021,BTN,3266.36277371286
Botswana,2022,BWA,7737.65468112589
Central African Republic,2022,CAF,427.058096252078
Canada,2022,CAN,54966.4888361088
Switzerland,2022,CHE,92101.4697414382
Channel Islands,2021,CHI,67960.7269955768
Chile,2022,CHL,15355.5064965406
China,2022,CHN,12720.2156397612
Cote d'Ivoire,2022,CIV,2486.41219393777
Cameroon,2022,CMR,1588.47872338696
"Congo, Dem. Rep.",2022,COD,586.464288888955
"Congo, Rep.",2022,COG,2447.98898873051
Colombia,2022,COL,6630.28272608054
Comoros,2022,COM,1484.8924647255
Cabo Verde,2022,CPV,3902.58904940059
Costa Rica,2022,CRI,13198.8217168097
Cuba,2021,CUB,48436.3789682857
Curacao,2021,CUW,17717.5964802588
Cayman Islands,2021,CYM,88475.6008787475
Cyprus,2022,CYP,31283.505859375
Czechia,2022,CZE,27638.3732756288
Germany,2022,DEU,48432.4558732596
Djibouti,2022,DJI,3136.11296031934
Dominica,2022,DMA,8414.53659276775
Denmark,2022,DNK,66983.1320017138
Dominican Republic,2022,DOM,10120.5511632969
Algeria,2022,DZA,4273.92218311515
Ecuador,2022,ECU,6391.28248430643
"Egypt, Arab Rep.",2022,EGY,4295.40749561014
Eritrea,2022,ERI,
Spain,2022,ESP,29350.1685214481
Estonia,2022,EST,28332.6290917984
Ethiopia,2022,ETH,1027.58591828225
Finland,2022,FIN,50536.6244670541
Fiji,2022,FJI,5316.65838506043
France,2022,FRA,40963.837337041
Faroe Islands,2021,FRO,69010.1662014429
"Micronesia, Fed. Sts.",2022,FSM,3741.05776874774
Gabon,2022,GAB,8820.34733810024
United Kingdom,2022,GBR,45850.4261222629
Georgia,2022,GEO,6627.70698037798
Ghana,2022,GHA,2175.85976967011
Gibraltar,2022,GIB,
Guinea,2022,GIN,1531.65647549394
"Gambia, The",2022,GMB,840.010193356007
Guinea-Bissau,2022,GNB,775.828965734682
Equatorial Guinea,2022,GNQ,7053.46708464771
Greece,2022,GRC,20732.0522190537
Grenada,2022,GRD,10016.2086862449
Greenland,2021,GRL,57116.4138715706
Guatemala,2022,GTM,5473.20874104102
Guam,2021,GUM,35904.8635462723
Guyana,2022,GUY,18989.7901988355
"Hong Kong SAR, China",2022,HKG,48983.623801213
Honduras,2022,HND,3040.17307960182
Croatia,2022,HRV,18413.2346820557
Haiti,2022,HTI,1748.25713234727
Hungary,2022,HUN,18463.2085249699
Indonesia,2022,IDN,4787.99930765134
Isle of Man,2020,IMN,79530.6054842568
India,2022,IND,2388.62119776762
Ireland,2022,IRL,104038.946076296
"Iran, Islamic Rep.",2022,IRN,4387.82571517872
Iraq,2022,IRQ,5937.19546600271
Iceland,2022,ISL,72902.9799538499
Israel,2022,ISR,54659.753964319
Italy,2022,ITA,34157.990122464
Jamaica,2022,JAM,6047.21646430936
Jordan,2022,JOR,4204.50563967692
Japan,2022,JPN,33815.3172733799
Kazakhstan,2022,KAZ,11243.6712256386
Kenya,2022,KEN,2099.30193826696
Kyrgyz Republic,2022,KGZ,1606.66807508711
Cambodia,2022,KHM,1786.56081858524
Kiribati,2022,KIR,1701.97012305233
St. Kitts and Nevis,2022,KNA,20176.7475766259
"Korea, Rep.",2022,KOR,32254.6247153456
Kuwait,2022,KWT,43233.4890938984
Lao PDR,2022,LAO,2088.37718210612
Lebanon,2021,LBN,4136.14657516013
Liberia,2022,LBR,754.532876859838
Libya,2022,LBY,6716.09598462328
St. Lucia,2022,LCA,11481.496719925
Liechtenstein,2021,LIE,184083.321373984
Sri Lanka,2022,LKA,3354.38340757565
Lesotho,2022,LSO,1107.39529790821
Lithuania,2022,LTU,24826.7910371972
Luxembourg,2022,LUX,126426.089934322
Latvia,2022,LVA,21851.1052012696
